year,forest_cells,forest_ha,mean_ndvi,loss_ha,cumulative_loss_ha,pct_remaining
2015,2582,64550,0.612,0.0,0.0,100.0
2016,2557,63925,0.612,625.0,625.0,99.03175832687839
2017,2518,62950,0.613,975.0,1600.0,97.52130131680867
2018,2481,62025,0.614,925.0,2525.0,96.08830364058869
2019,2460,61500,0.614,525.0,3050.0,95.27498063516654
2020,2438,60950,0.614,550.0,3600.0,94.42292796281951
2021,2407,60175,0.615,775.0,4375.0,93.22230828814872
2022,2372,59300,0.616,875.0,5250.0,91.86676994577847
2023,2340,58500,0.616,800.0,6050.0,90.6274206041828
2024,2310,57750,0.616,750.0,6800.0,89.46553059643686
