lat,lon,severity,year,hour,casualties,injuries,vehicle_type,day_type
6.421676,2.459034,Serious Injury,2021,18,0,1,Motorcycle,Weekday
6.415005,2.449026,Property Damage,2023,21,0,0,Car,Weekday
6.392779,2.439947,Property Damage,2023,4,0,0,Motorcycle,Weekend
6.389905,2.417241,Property Damage,2024,12,0,0,Motorcycle,Weekday
6.389875,2.457006,Minor Injury,2022,17,0,1,Bicycle,Weekday
6.400681,2.45178,Minor Injury,2023,21,0,1,Motorcycle,Weekday
6.446084,2.41413,Property Damage,2023,7,0,0,Car,Weekday
6.434296,2.46149,Minor Injury,2020,17,0,1,Car,Weekday
6.399024,2.446208,Minor Injury,2024,12,0,2,Bicycle,Weekday
6.390313,2.444981,Serious Injury,2021,9,0,1,Motorcycle,Weekday
6.386483,2.400232,Minor Injury,2024,16,0,2,Bus/Truck,Weekday
6.406695,2.404954,Property Damage,2022,17,0,0,Motorcycle,Weekday
6.392412,2.435777,Serious Injury,2023,12,0,3,Car,Weekday
6.436375,2.440797,Minor Injury,2021,8,0,2,Motorcycle,Weekday
6.393739,2.464308,Property Damage,2022,11,0,0,Motorcycle,Weekend
6.433979,2.460194,Minor Injury,2020,6,0,1,Motorcycle,Weekday
6.411724,2.43002,Minor Injury,2021,16,0,2,Motorcycle,Weekday
6.418718,2.389407,Minor Injury,2022,19,0,2,Motorcycle,Weekend
6.438969,2.461742,Minor Injury,2022,3,0,2,Bicycle,Weekday
6.390596,2.44038,Serious Injury,2022,20,0,2,Car,Weekday
6.393242,2.432027,Serious Injury,2023,11,0,3,Motorcycle,Weekday
6.389547,2.439851,Serious Injury,2022,17,0,2,Motorcycle,Weekday
6.398031,2.461631,Serious Injury,2020,15,0,2,Car,Weekday
6.407432,2.448881,Property Damage,2024,6,0,0,Bicycle,Weekend
6.413215,2.473931,Property Damage,2021,14,0,0,Motorcycle,Weekday
6.394554,2.422905,Serious Injury,2021,16,0,2,Car,Weekday
6.437503,2.457354,Property Damage,2020,14,0,0,Motorcycle,Weekend
6.382398,2.425628,Property Damage,2024,8,0,0,Motorcycle,Weekend
6.409466,2.440717,Minor Injury,2020,7,0,1,Car,Weekday
6.403775,2.42181,Minor Injury,2024,17,0,2,Motorcycle,Weekend
6.429658,2.441421,Property Damage,2022,12,0,0,Motorcycle,Weekday
6.396711,2.401772,Serious Injury,2022,21,0,3,Bicycle,Weekend
6.404332,2.449941,Serious Injury,2024,17,0,3,Motorcycle,Weekday
6.409128,2.464362,Minor Injury,2021,18,0,1,Motorcycle,Weekday
6.434645,2.45644,Minor Injury,2022,9,0,1,Car,Weekend
6.41369,2.415169,Serious Injury,2021,16,0,3,Motorcycle,Weekday
6.418829,2.453787,Minor Injury,2024,20,0,2,Motorcycle,Weekend
6.404796,2.451778,Minor Injury,2020,16,0,1,Motorcycle,Weekday
6.411633,2.448659,Property Damage,2020,5,0,0,Motorcycle,Weekend
6.393135,2.442311,Property Damage,2020,19,0,0,Car,Weekend
6.405218,2.442616,Minor Injury,2022,17,0,2,Bicycle,Weekday
6.404984,2.440724,Minor Injury,2023,12,0,2,Motorcycle,Weekday
6.445236,2.462358,Minor Injury,2024,10,0,1,Car,Weekend
6.410981,2.456217,Minor Injury,2024,11,0,1,Car,Weekday
6.409122,2.448141,Serious Injury,2022,6,0,1,Motorcycle,Weekday
6.412492,2.446693,Minor Injury,2023,17,0,1,Car,Weekend
6.385863,2.462373,Minor Injury,2020,13,0,1,Motorcycle,Weekday
6.408421,2.445853,Minor Injury,2023,17,0,1,Motorcycle,Weekday
6.415146,2.450034,Serious Injury,2022,8,0,3,Motorcycle,Weekday
6.404523,2.437117,Property Damage,2020,20,0,0,Motorcycle,Weekday
6.437377,2.459493,Minor Injury,2024,6,0,1,Bus/Truck,Weekday
6.43755,2.463179,Property Damage,2020,19,0,0,Bicycle,Weekday
6.388069,2.464102,Property Damage,2024,9,0,0,Motorcycle,Weekday
6.391993,2.445388,Minor Injury,2023,13,0,2,Bus/Truck,Weekend
6.44334,2.462269,Property Damage,2023,16,0,0,Car,Weekend
6.400257,2.461175,Property Damage,2022,16,0,0,Motorcycle,Weekday
6.433692,2.449928,Fatal,2024,15,1,1,Car,Weekend
6.406028,2.447924,Minor Injury,2023,13,0,1,Motorcycle,Weekday
6.389643,2.463016,Minor Injury,2022,17,0,1,Bicycle,Weekday
6.387793,2.467442,Minor Injury,2023,18,0,2,Motorcycle,Weekend
6.388267,2.460076,Serious Injury,2021,12,0,2,Car,Weekday
6.384824,2.458233,Minor Injury,2020,8,0,1,Bicycle,Weekday
6.444703,2.457329,Property Damage,2024,18,0,0,Motorcycle,Weekday
6.421737,2.463792,Property Damage,2021,8,0,0,Motorcycle,Weekday
6.409864,2.454232,Property Damage,2022,18,0,0,Car,Weekday
6.407504,2.459162,Property Damage,2021,9,0,0,Car,Weekend
6.394291,2.438085,Minor Injury,2024,10,0,2,Motorcycle,Weekday
6.434713,2.464561,Property Damage,2023,12,0,0,Car,Weekday
6.388132,2.443827,Minor Injury,2020,6,0,1,Motorcycle,Weekday
6.41634,2.462607,Minor Injury,2020,14,0,2,Car,Weekday
6.429313,2.461516,Serious Injury,2021,11,0,3,Bus/Truck,Weekday
6.399913,2.472484,Serious Injury,2023,14,0,3,Motorcycle,Weekday
6.409128,2.448164,Property Damage,2023,10,0,0,Bicycle,Weekday
6.416766,2.448145,Minor Injury,2021,8,0,2,Motorcycle,Weekday
6.402467,2.408176,Serious Injury,2024,19,0,2,Car,Weekday
6.389236,2.438973,Minor Injury,2023,9,0,1,Bus/Truck,Weekday
6.410053,2.452525,Minor Injury,2023,18,0,2,Car,Weekday
6.407554,2.441854,Property Damage,2023,6,0,0,Bus/Truck,Weekday
6.441806,2.460557,Property Damage,2022,15,0,0,Bicycle,Weekday
6.447096,2.470071,Serious Injury,2020,16,0,3,Motorcycle,Weekend
6.397108,2.443788,Fatal,2021,16,1,0,Motorcycle,Weekday
6.436524,2.461791,Fatal,2020,12,2,1,Car,Weekday
6.439501,2.455968,Serious Injury,2023,21,0,1,Car,Weekend
6.41178,2.445808,Minor Injury,2021,18,0,1,Car,Weekday
6.386762,2.461315,Minor Injury,2021,12,0,1,Motorcycle,Weekday
6.390427,2.462522,Serious Injury,2022,17,0,3,Car,Weekday
6.404787,2.440072,Property Damage,2023,10,0,0,Bicycle,Weekend
6.404285,2.440244,Property Damage,2022,17,0,0,Car,Weekday
6.410571,2.474022,Property Damage,2022,15,0,0,Bus/Truck,Weekday
6.432097,2.462594,Minor Injury,2020,15,0,2,Car,Weekend
6.388457,2.458633,Minor Injury,2024,20,0,2,Motorcycle,Weekday
6.407231,2.443437,Minor Injury,2024,17,0,2,Motorcycle,Weekend
6.38794,2.464578,Property Damage,2023,16,0,0,Bicycle,Weekend
6.384984,2.424605,Serious Injury,2022,8,0,1,Car,Weekday
6.416584,2.447871,Property Damage,2024,20,0,0,Motorcycle,Weekday
6.409019,2.443901,Property Damage,2022,15,0,0,Bus/Truck,Weekend
6.407581,2.441392,Minor Injury,2020,16,0,2,Car,Weekend
6.391678,2.442971,Minor Injury,2023,16,0,1,Bus/Truck,Weekday
6.391427,2.420577,Property Damage,2021,19,0,0,Car,Weekend
6.42559,2.457411,Property Damage,2022,17,0,0,Bus/Truck,Weekend
6.389121,2.442526,Property Damage,2024,19,0,0,Car,Weekday
6.440211,2.442094,Property Damage,2024,11,0,0,Car,Weekday
6.383986,2.440982,Serious Injury,2024,12,0,3,Car,Weekend
6.404683,2.442145,Property Damage,2023,15,0,0,Bus/Truck,Weekend
6.404967,2.47123,Minor Injury,2022,5,0,2,Motorcycle,Weekday
6.405805,2.444369,Serious Injury,2023,21,0,3,Car,Weekend
6.40441,2.451811,Minor Injury,2020,13,0,2,Car,Weekend
