row,col,lat,lon,population,jobs,income_index,car_ownership,transit_score,demand,gap_score,gap_class,gap_color
0,0,-1.289405066475027,36.824595618945466,200,131,12.1,0.137,0.0,1.5674399245868558,1.5674399245868558,Well Served,#1b5e20
0,1,-1.289405066475027,36.829986856836406,200,0,12.5,0.177,0.0,1.4017039654296217,1.4017039654296217,Well Served,#1b5e20
0,2,-1.289405066475027,36.83537809472734,200,73,27.4,0.326,0.0,0.7962393817392404,0.7962393817392404,Well Served,#1b5e20
0,3,-1.289405066475027,36.84076933261828,312,115,34.3,0.311,0.0,2.713522379517237,2.713522379517237,Well Served,#1b5e20
0,4,-1.289405066475027,36.84616057050922,200,91,14.5,0.175,0.0,1.5946268164092121,1.5946268164092121,Well Served,#1b5e20
0,5,-1.289405066475027,36.85155180840015,499,0,23.0,0.251,0.0,6.535458490890021,6.535458490890021,Low Gap,#f9a825
0,6,-1.289405066475027,36.85694304629109,506,0,19.4,0.245,0.0,6.843346179659417,6.843346179659417,Low Gap,#f9a825
0,7,-1.289405066475027,36.86233428418203,245,321,32.6,0.406,0.0,1.2836305513688366,1.2836305513688366,Well Served,#1b5e20
0,8,-1.289405066475027,36.867725522072966,200,103,35.0,0.279,0.0,1.2525120030387353,1.2525120030387353,Well Served,#1b5e20
0,9,-1.289405066475027,36.87311675996391,200,179,30.3,0.31,0.0,1.1452401808678938,1.1452401808678938,Well Served,#1b5e20
0,10,-1.289405066475027,36.87850799785485,200,267,29.3,0.303,0.0,1.2227329488507956,1.2227329488507956,Well Served,#1b5e20
0,11,-1.289405066475027,36.88389923574578,200,288,10.0,0.172,0.0,1.9141500113429177,1.9141500113429177,Well Served,#1b5e20
0,12,-1.289405066475027,36.88929047363672,200,0,34.0,0.313,0.0,1.189954919250067,1.189954919250067,Well Served,#1b5e20
0,13,-1.289405066475027,36.89468171152766,200,110,49.3,0.417,0.0,0.6898266543220123,0.6898266543220123,Well Served,#1b5e20
0,14,-1.289405066475027,36.90007294941859,437,35,46.0,0.408,0.0,4.343288200133687,4.343288200133687,Well Served,#1b5e20
0,15,-1.289405066475027,36.90546418730953,200,0,30.1,0.285,0.0,1.3954283469962276,1.3954283469962276,Well Served,#1b5e20
0,16,-1.289405066475027,36.910855425200474,200,0,23.5,0.242,0.0,1.6469823340691192,1.6469823340691192,Well Served,#1b5e20
0,17,-1.289405066475027,36.91624666309141,200,357,20.7,0.233,0.0,1.7506775786132436,1.7506775786132436,Well Served,#1b5e20
0,18,-1.289405066475027,36.92163790098235,200,0,35.1,0.391,0.0,0.9179634920502213,0.9179634920502213,Well Served,#1b5e20
0,19,-1.289405066475027,36.92702913887329,610,87,31.5,0.312,0.0,8.83771959359868,8.83771959359868,Low Gap,#f9a825
0,20,-1.289405066475027,36.93242037676422,200,0,33.3,0.298,0.0,1.4491202871986564,1.4491202871986564,Well Served,#1b5e20
0,21,-1.289405066475027,36.93781161465516,200,225,53.8,0.574,0.0,0.0,0.0,Well Served,#1b5e20
0,22,-1.289405066475027,36.9432028525461,200,798,22.8,0.201,9.999904618973233,2.05651879142982,1.850868873815577,Well Served,#1b5e20
0,23,-1.289405066475027,36.948594090437034,681,296,34.7,0.367,39.99993641262246,9.373633292281013,5.6241859358161985,Low Gap,#f9a825
0,24,-1.289405066475027,36.953985328327974,200,324,48.8,0.343,69.99996820631122,1.2752431613272532,0.3825733538450178,Well Served,#1b5e20
0,25,-1.289405066475027,36.959376566218914,786,525,37.2,0.381,100.0,10.949587147695265,0.0,Well Served,#1b5e20
0,26,-1.289405066475027,36.96476780410985,200,340,31.3,0.285,69.99996820635077,1.5976626854472844,0.4792993135894554,Well Served,#1b5e20
0,27,-1.289405066475027,36.97015904200079,345,414,30.7,0.285,39.999936412661995,4.41651576977425,2.6499122702093607,Well Served,#1b5e20
0,28,-1.289405066475027,36.97555027989173,200,488,36.6,0.323,9.999904618973233,1.390841195783534,1.2517584028037938,Well Served,#1b5e20
0,29,-1.289405066475027,36.98094151778266,200,0,23.4,0.22,0.0,1.9105609990567787,1.9105609990567787,Well Served,#1b5e20
0,30,-1.289405066475027,36.9863327556736,201,77,18.8,0.172,0.0,2.1871725469586165,2.1871725469586165,Well Served,#1b5e20
0,31,-1.289405066475027,36.99172399356454,200,413,30.1,0.251,0.0,1.7522049472824306,1.7522049472824306,Well Served,#1b5e20
0,32,-1.289405066475027,36.997115231455474,200,296,14.2,0.187,0.0,2.0722059956195533,2.0722059956195533,Well Served,#1b5e20
